Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Average Conversion Rate,Engagement Rate,Total Acquisition Cost,Cost Per Click (CPC),Cost Per Acquisition,Total Conversions
199991,TechCorp,Email,Men 25-34,15 days,Website,0.07,"$15,797.00",6.55,Chicago,Mandarin,470,5927,7,Fashionistas,2021-12-02,,,,,,
199992,DataTech Solutions,Influencer,Men 18-24,60 days,YouTube,0.09,"$6,697.00",6.21,New York,Spanish,416,2978,7,Fashionistas,2021-12-03,,,,,,
199993,DataTech Solutions,Social Media,Men 18-24,30 days,Instagram,0.1,"$12,704.00",6.56,Houston,German,930,6086,4,Foodies,2021-12-04,,,,,,
199994,DataTech Solutions,Influencer,Women 35-44,15 days,Facebook,0.1,"$18,292.00",3.11,Chicago,Mandarin,455,2995,6,Fashionistas,2021-12-05,,,,,,
199995,NexGen Systems,Influencer,All Ages,30 days,YouTube,0.13,"$19,974.00",6.76,Miami,English,515,3582,8,Outdoor Adventurers,2021-12-06,,,,,,
199996,TechCorp,Display,All Ages,30 days,Google Ads,0.06,"$18,365.00",2.84,Chicago,German,858,5988,1,Tech Enthusiasts,2021-12-07,,,,,,
199997,DataTech Solutions,Email,Men 25-34,15 days,Facebook,0.02,"$8,168.00",4.14,Chicago,Spanish,228,3068,7,Foodies,2021-12-08,,,,,,
199998,DataTech Solutions,Social Media,Men 18-24,45 days,Website,0.05,"$13,397.00",3.25,New York,Mandarin,723,9548,3,Tech Enthusiasts,2021-12-09,,,,,,
199999,Innovate Industries,Influencer,All Ages,30 days,YouTube,0.1,"$18,508.00",3.86,Houston,French,528,2763,1,Foodies,2021-12-10,,,,,,
200000,Innovate Industries,Social Media,Women 35-44,45 days,Google Ads,0.01,"$13,835.00",6.64,Chicago,Spanish,924,7287,8,Tech Enthusiasts,2021-12-11,,,,,,
